,Pos,Vel,Angle,Vel_tip,Mean_1,Mean_2,Variance_1,Variance_2
47,-0.16871123231424648,0.3644166366312538,0.10161552792629609,-0.3555183887933006,6.694982,6.718805,0.07907124,0.08446043
48,-0.1614228995816214,0.168007774661084,0.09450516015043008,-0.03260125563989963,6.8542833,6.829921,0.1078037,0.12536944
49,-0.1580627440883997,-0.028333437206971235,0.09385313503763208,0.2883395422689494,6.593953,6.5686135,0.034091044,0.041727506
50,-0.15862941283253915,0.16533355848505835,0.09961992588301107,0.02666986511651298,6.4480376,6.728549,0.02552177,0.024749136
51,-0.155322741662838,-0.03106544049161092,0.10015332318534133,0.3490475941057652,6.6482263,6.638533,0.036645144,0.019629352
52,-0.1559440504726702,0.16250004232777313,0.10713427506745662,0.08955022527625772,6.4019637,6.6306047,0.0699597,0.05375871
53,-0.15269404962611474,0.3559362636042261,0.10892527957298177,-0.16750328079585924,6.583229,6.6854873,0.077986926,0.056388117
54,-0.14557532435403023,0.5493441256139959,0.10557521395706458,-0.4239349839488433,6.4475045,6.4760103,0.025757909,0.03491137
55,-0.1345884418417503,0.35289739582806656,0.09709651427808771,-0.09992409539456909,6.8496985,6.8127685,0.053748738,0.07274021
56,-0.12753049392518898,0.5465033840947796,0.09509803237019633,-0.36046366204234465,6.5284386,6.583829,0.023166714,0.021042667
57,-0.11660042624329338,0.740153976712109,0.08788875912934943,-0.6217103624851161,6.6440263,6.6625123,0.04922666,0.031633858
58,-0.1017973467090512,0.9339458053370627,0.07545455187964711,-0.8854700864067422,6.650248,6.6607523,0.021384839,0.019329824
59,-0.08311843060230995,0.7378850130346285,0.05774515015151227,-0.5700530944238762,6.662175,6.6396704,0.031466983,0.0278698
60,-0.06836073034161738,0.9321516050362103,0.046344088263034745,-0.8439996399034189,6.4394484,6.505229,0.036117382,0.053821307
61,-0.04971769824089317,1.126611522964245,0.029464095464966367,-1.1217560456365443,6.7247925,6.8159738,0.067376845,0.10656618
62,-0.02718546778160827,0.9311158389116974,0.00702897455223548,-0.8199786067666957,6.488986,6.4840646,0.039758217,0.04270969
63,-0.008563151003374323,0.735898401680422,-0.009370597583098432,-0.5250931831434521,6.7914095,6.7673097,0.037600487,0.033375517
64,0.006154817030234117,0.5409095628056159,-0.019872461245967477,-0.23537768130844433,6.7989664,6.784626,0.10546536,0.10369343
65,0.016973008286346434,0.7363097195315703,-0.024580014872136364,-0.5342621625694048,6.6149497,6.6257195,0.014197945,0.013806242
66,0.031699202676977845,0.9317685588339367,-0.03526525812352446,-0.8345876538724801,6.580619,6.732351,0.056574773,0.070761904
67,0.05033457385365658,1.1273540962823496,-0.05195701120097407,-1.1381493877000894,6.595619,6.6516304,0.058555666,0.044898506
68,0.07288165577930358,0.9329486768794542,-0.07471999895497586,-0.8622032621546756,6.903968,6.6935515,0.09607793,0.06661392
69,0.09154062931689266,0.7389193115519938,-0.09196406419806938,-0.5939185412631094,6.550331,6.502561,0.019074416,0.0190177
70,0.10631901554793254,0.5451967767107263,-0.10384243502333157,-0.33156200332624214,6.8229094,6.7873445,0.062563896,0.0873841
71,0.11722295108214706,0.7416317456778954,-0.11047367508985641,-0.6551020653867619,6.546941,6.7121058,0.030974427,0.048577294
72,0.13205558599570497,0.5482071569602476,-0.12357571639759164,-0.39914709608147575,6.663598,6.5385957,0.041874897,0.068998925
73,0.14301972913490993,0.3550350673437086,-0.13155865831922114,-0.1478374520272664,6.934194,6.82489,0.045832057,0.035613704
74,0.1501204304817841,0.551771554182724,-0.13451540735976647,-0.4789588445764326,6.351727,6.5338526,0.022670716,0.03200925
75,0.1611558615654386,0.35877952911952926,-0.14409458425129512,-0.23151428845000158,6.814143,6.651187,0.071937256,0.08549205
76,0.16833145214782919,0.16597900242159722,-0.14872487002029516,0.012471960710308039,6.6068788,6.6061387,0.017666418,0.041578103
77,0.17165103219626113,-0.026731748822883566,-0.148475430806089,0.25478293991049406,6.952194,6.9264045,0.06825475,0.096139655
78,0.17111639721980346,0.17016375769049746,-0.1433797720078791,-0.0808024514811917,6.61769,6.680093,0.040185288,0.048636954
79,0.1745196723736134,0.36701891741584947,-0.14499582103750294,-0.4150645820895685,6.601175,6.6674223,0.056953717,0.051361807
80,0.1818600507219304,0.1742176288938858,-0.1532971126792943,-0.17137694559802888,6.5881987,6.4144583,0.11107323,0.08066215
81,0.1853444032998081,-0.018415825392329332,-0.15672465159125487,0.06929167740935249,6.6925187,6.5273438,0.036030054,0.049555726
82,0.18497608679196154,-0.2109842002093598,-0.15533881804306782,0.3087153573606959,6.722586,6.601283,0.023236591,0.020994686
83,0.18075640278777433,-0.4035910721237208,-0.1491645108958539,0.5486607796625311,6.849717,6.8285017,0.045985494,0.0575954
84,0.1726845813452999,-0.5963375415747968,-0.13819129530260327,0.7908780591180975,6.6174192,6.6154227,0.017833132,0.016513819
85,0.16075783051380396,-0.7893188771075763,-0.12237373412024131,1.037091406403943,6.7065873,6.702601,0.014031666,0.012980104
86,0.14497145297165243,-0.5928017280607512,-0.10163190599216246,0.7086319634809203,6.647475,6.7715592,0.03437305,0.048215102
87,0.1331154184104374,-0.7863800496906634,-0.08745926672254405,0.9676727583207121,6.626525,6.571519,0.049911406,0.03553068
88,0.11738781741662413,-0.9802256726827293,-0.0681058115561298,1.2316495830754932,6.6793313,6.622657,0.030247036,0.015550923
89,0.09778330396296954,-0.7842971125471919,-0.04347281989461993,0.9184304429744381,6.797431,6.8209143,0.008749807,0.01672424
90,0.0820973617120257,-0.978805268934041,-0.025104211035131167,1.1971400386262656,6.704357,6.61747,0.02541015,0.019374954
91,0.06252125633334488,-0.7833675450715094,-0.0011614102626058553,0.8966959619303563,6.7922974,6.8083563,0.04593657,0.05022935
92,0.046853905431914686,-0.9784737317974043,0.01677250897600127,1.1890135900985606,6.692436,6.6382856,0.034427654,0.04953749
